season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,52644,Gonzalo Castro,0,3.0,6.0,28.0,23.0,0.0,0.0
2016-17,169584,Gotoku Sakai,0,1.0,2.0,33.0,29.0,0.0,0.0
2016-17,238544,Gregor Kobel,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,136963,Guido Burgstaller,0,9.0,2.0,18.0,17.0,0.0,0.0
2016-17,188368,Guillermo Varela,0,0.0,0.0,7.0,6.0,0.0,0.0
2016-17,220474,Haji Wright,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,170785,Hakan Çalhanoglu,0,6.0,5.0,15.0,14.0,0.0,0.0
2016-17,33891,Halil Altintop,0,6.0,2.0,31.0,17.0,0.0,0.0
2016-17,69156,Hamit Altintop,0,0.0,0.0,16.0,15.0,0.0,0.0
2016-17,134503,Haris Seferovic,0,3.0,0.0,25.0,11.0,0.0,0.0
2016-17,141689,Havard Nielsen,0,0.0,1.0,4.0,0.0,0.0,0.0
2016-17,137018,Heinz Lindner,0,0.0,0.0,2.0,1.0,0.0,0.0
2016-17,192020,Hendrik Bonmann,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,249175,Hendrik Hansen,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,253920,Hikmet Ciftci,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,123466,Holger Badstuber,0,0.0,0.0,11.0,10.0,0.0,0.0
2016-17,103178,Ibrahima Traoré,0,1.0,3.0,14.0,9.0,0.0,0.0
2016-17,241999,Igor Berezovsky,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,164978,Immanuel Höhn,0,0.0,0.0,12.0,12.0,0.0,0.0
2016-17,226113,Ismail Azzaoui,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,183667,Izet Hajrovic,0,1.0,0.0,10.0,6.0,0.0,0.0
2016-17,115903,Ja-Cheol Koo,0,2.0,3.0,23.0,22.0,0.0,0.0
2016-17,233073,Jacob Bruun Larsen,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,165679,Jairo Samperio,0,2.0,1.0,17.0,11.0,0.0,0.0
2016-17,102200,Jakub Blaszczykowski,0,0.0,1.0,28.0,20.0,0.0,0.0
2016-17,135805,Jan Morávek,0,0.0,0.0,13.0,10.0,0.0,0.0
2016-17,85194,Jan Rosenthal,0,0.0,0.0,19.0,10.0,0.0,0.0
2016-17,30078,Jan-Ingwer Callsen-Bracker,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,170604,Janik Haberer,0,3.0,4.0,32.0,22.0,0.0,0.0
2016-17,231866,Jannes Horn,0,0.0,1.0,13.0,10.0,0.0,0.0
2016-17,224246,Jannik Huth,0,0.0,0.0,7.0,7.0,0.0,0.0
2016-17,155211,Jannik Vestergaard,0,4.0,1.0,34.0,29.0,0.0,0.0
2016-17,94067,Jaroslav Drobný,0,0.0,0.0,10.0,10.0,0.0,0.0
2016-17,85298,Javi Martínez,0,1.0,1.0,25.0,25.0,0.0,0.0
2016-17,146419,Javier Hernández,0,11.0,3.0,26.0,20.0,0.0,0.0
2016-17,186151,Jean-Philippe Gbamin,0,0.0,0.0,25.0,21.0,0.0,0.0
2016-17,140073,Jeffrey Bruma,0,1.0,0.0,20.0,20.0,0.0,0.0
2016-17,140624,Jeffrey Gouweleeuw,0,2.0,1.0,18.0,18.0,0.0,0.0
2016-17,186024,Jeremy Toljan,0,1.0,1.0,20.0,14.0,0.0,0.0
2016-17,123384,Jerome Gondorf,0,3.0,4.0,29.0,29.0,0.0,0.0
2016-17,209592,Jesús Vallejo,0,1.0,0.0,25.0,22.0,0.0,0.0
2016-17,176058,Jhon Córdoba,0,5.0,3.0,29.0,27.0,0.0,0.0
2016-17,150375,Ji Dong-Won,0,3.0,2.0,34.0,24.0,0.0,0.0
2016-17,152580,Joannis Gelios,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,228506,Joel Abu Hanna,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,175176,Joel Pohjanpalo,0,6.0,0.0,11.0,1.0,0.0,0.0
2016-17,45941,Johan Djourou,0,0.0,0.0,14.0,12.0,0.0,0.0
2016-17,225580,Johannes Eggestein,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,153488,Johannes Geis,0,0.0,0.0,18.0,17.0,0.0,0.0
2016-17,242583,Johannes Wolff,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,39386,John Brooks,0,2.0,0.0,24.0,24.0,0.0,0.0
2016-17,206470,John-Patrick Strauß,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,220815,Jonas Föhrenbach,0,0.0,0.0,3.0,1.0,0.0,0.0
2016-17,171702,Jonas Hector,0,1.0,2.0,33.0,33.0,0.0,0.0
2016-17,174617,Jonas Hofmann,0,0.0,1.0,21.0,16.0,0.0,0.0
2016-17,152859,Jonas Lössl,0,0.0,0.0,27.0,27.0,0.0,0.0
2016-17,153290,Jonathan Schmid,0,1.0,3.0,25.0,20.0,0.0,0.0
2016-17,188052,Jonathan Tah,0,1.0,1.0,19.0,16.0,0.0,0.0
2016-17,251061,Jordan Torunarigha,0,1.0,0.0,8.0,5.0,0.0,0.0
2016-17,238540,Joshua Bitter,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,190161,Joshua Kimmich,0,6.0,1.0,27.0,15.0,0.0,0.0
2016-17,144859,Josip Drmic,0,0.0,0.0,12.0,2.0,0.0,0.0
2016-17,130113,Josuha Guilavogui,0,0.0,0.0,19.0,17.0,0.0,0.0
2016-17,164194,Juan Bernat,0,2.0,2.0,18.0,13.0,0.0,0.0
2016-17,250739,Juan Miguel Blanco-Lopez,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,115123,Julian Baumgartlinger,0,0.0,1.0,22.0,19.0,0.0,0.0
2016-17,197628,Julian Brandt,0,3.0,8.0,32.0,25.0,0.0,0.0
2016-17,208609,Julian Günther-Schmidt,0,0.0,0.0,4.0,0.0,0.0,0.0
2016-17,160026,Julian Korb,0,0.0,0.0,12.0,7.0,0.0,0.0
2016-17,129840,Julian Schieber,0,3.0,1.0,18.0,2.0,0.0,0.0
2016-17,111889,Julian Schuster,0,0.0,0.0,13.0,9.0,0.0,0.0
2016-17,200192,Julian Weigl,0,0.0,0.0,30.0,27.0,0.0,0.0
2016-17,248886,Julius Kade,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,137143,Justin Eilers,0,0.0,0.0,0.0,0.0,0.0,0.0
