season,player_code,player_name,goals,assists,minutes,starts,xg,xa
2016-17,171273,Cameron Borthwick-Jackson,0,0,0,0.0,0.0,0.0
2016-17,201084,Timothy Fosu-Mensah,0,0,97,0.0,0.0,0.0
2016-17,58877,Daley Blind,1,2,1830,0.0,0.0,0.0
2016-17,197365,Eric Bailly,0,0,2058,0.0,0.0,0.0
2016-17,43670,Juan Mata,6,3,1614,0.0,0.0,0.0
2016-17,41184,Marouane Fellaini,1,0,1604,0.0,0.0,0.0
2016-17,106824,Memphis Depay,0,0,24,0.0,0.0,0.0
2016-17,2404,Michael Carrick,0,0,1601,0.0,0.0,0.0
2016-17,18892,Ashley Young,0,1,760,0.0,0.0,0.0
2016-17,154976,Adnan Januzaj,0,3,1628,0.0,0.0,0.0
2016-17,59846,Ander Herrera,1,6,2465,0.0,0.0,0.0
2016-17,156689,Andreas Pereira,0,0,0,0.0,0.0,0.0
2016-17,42774,Morgan Schneiderlin,1,0,1073,0.0,0.0,0.0
2016-17,15208,Bastian Schweinsteiger,0,0,0,0.0,0.0,0.0
2016-17,109322,Jesse Lingard,1,3,1360,0.0,0.0,0.0
2016-17,148225,Anthony Martial,4,6,1553,0.0,0.0,0.0
2016-17,57249,Henrikh Mkhitaryan,4,1,1348,0.0,0.0,0.0
2016-17,13017,Wayne Rooney,5,5,1540,0.0,0.0,0.0
2016-17,112139,James Wilson,0,0,0,0.0,0.0,0.0
2016-17,176297,Marcus Rashford,5,3,1712,0.0,0.0,0.0
2016-17,9808,Zlatan Ibrahimovic,17,7,2438,0.0,0.0,0.0
2016-17,19101,Dimitrios Konstantopoulos,0,0,0,0.0,0.0,0.0
2016-17,12496,Víctor Valdés,0,0,2520,0.0,0.0,0.0
2016-17,75880,Daniel Ayala,1,0,918,0.0,0.0,0.0
2016-17,40202,George Friend,0,3,1964,0.0,0.0,0.0
2016-17,169061,Dael Fry,0,0,0,0.0,0.0,0.0
2016-17,83312,Ben Gibson,1,1,3420,0.0,0.0,0.0
2016-17,48771,Emilio Nsue Lopez,0,0,320,0.0,0.0,0.0
2016-17,55317,Bernardo Espinosa Zúñiga,0,0,975,0.0,0.0,0.0
2016-17,49773,Albert Adomah,0,0,122,0.0,0.0,0.0
2016-17,12002,Stewart Downing,1,3,2214,0.0,0.0,0.0
2016-17,59044,Adam Clayton,0,2,2804,0.0,0.0,0.0
2016-17,10460,Grant Leadbitter,1,0,710,0.0,0.0,0.0
2016-17,96778,Adam Reach,0,0,0,0.0,0.0,0.0
2016-17,80179,Adam Forshaw,0,2,2695,0.0,0.0,0.0
2016-17,153601,Carlos De Pena,0,0,0,0.0,0.0,0.0
2016-17,169535,Julien de Sart,0,0,0,0.0,0.0,0.0
2016-17,123125,Viktor Fischer,0,3,438,0.0,0.0,0.0
2016-17,82428,Marten de Roon,4,1,2773,0.0,0.0,0.0
2016-17,12744,David Nugent,0,0,43,0.0,0.0,0.0
2016-17,20047,Jordan Rhodes,0,0,211,0.0,0.0,0.0
2016-17,49464,Cristhian Stuani,4,0,1355,0.0,0.0,0.0
2016-17,40383,Fraser Forster,0,0,3420,0.0,0.0,0.0
2016-17,102884,Paulo Gazzaniga,0,0,0,0.0,0.0,0.0
2016-17,40146,Ryan Bertrand,2,5,2507,0.0,0.0,0.0
2016-17,38580,Jose Fonte,0,0,2934,0.0,0.0,0.0
2016-17,80447,Maya Yoshida,1,1,2070,0.0,0.0,0.0
2016-17,169359,Matt Targett,0,0,373,0.0,0.0,0.0
2016-17,84395,Florin Gardos,0,0,0,0.0,0.0,0.0
2016-17,58822,Cédric Soares,0,3,2515,0.0,0.0,0.0
2016-17,56192,Cuco Martina,0,0,592,0.0,0.0,0.0
2016-17,97032,Virgil van Dijk,1,0,1852,0.0,0.0,0.0
2016-17,83283,Nathan Redmond,7,1,2898,0.0,0.0,0.0
2016-17,17339,Steven Davis,0,3,2643,0.0,0.0,0.0
2016-17,101178,James Ward-Prowse,4,4,1883,0.0,0.0,0.0
2016-17,153366,Harrison Reed,0,0,64,0.0,0.0,0.0
2016-17,62399,Dusan Tadic,3,7,2411,0.0,0.0,0.0
2016-17,85654,Jordy Clasie,1,1,1022,0.0,0.0,0.0
2016-17,78056,Oriol Romeu Vidal,1,0,3071,0.0,0.0,0.0
2016-17,44683,Jay Rodriguez,5,2,893,0.0,0.0,0.0
2016-17,132015,Pierre-Emile Højbjerg,0,0,1300,0.0,0.0,0.0
2016-17,20452,Shane Long,3,2,1262,0.0,0.0,0.0
2016-17,78356,Charlie Austin,6,1,934,0.0,0.0,0.0
2016-17,1822,Shay Given,0,0,450,0.0,0.0,0.0
2016-17,105666,Jack Butland,0,0,450,0.0,0.0,0.0
2016-17,112316,Jakob Haugaard,0,0,0,0.0,0.0,0.0
2016-17,37869,Ryan Shawcross,1,2,3150,0.0,0.0,0.0
2016-17,32318,Marc Wilson,0,0,255,0.0,0.0,0.0
2016-17,50089,Geoff Cameron,0,1,1629,0.0,0.0,0.0
2016-17,39487,Erik Pieters,0,2,3151,0.0,0.0,0.0
2016-17,61595,Marc Muniesa,1,0,650,0.0,0.0,0.0
2016-17,17997,Phil Bardsley,0,0,1168,0.0,0.0,0.0
2016-17,69960,Philipp Wollscheid,0,0,180,0.0,0.0,0.0
2016-17,9047,Glen Johnson,0,0,1957,0.0,0.0,0.0
2016-17,155706,Dionatan do Nascimento Teixeira,0,0,0,0.0,0.0,0.0
2016-17,20481,Stephen Ireland,0,0,0,0.0,0.0,0.0
2016-17,20208,Charlie Adam,1,4,1491,0.0,0.0,0.0
2016-17,12150,Glenn Whelan,0,1,2276,0.0,0.0,0.0
2016-17,12813,Jonathan Walters,4,3,1304,0.0,0.0,0.0
2016-17,41464,Marko Arnautovic,6,7,2713,0.0,0.0,0.0
2016-17,19568,Ibrahim Afellay,0,0,384,0.0,0.0,0.0
2016-17,68312,Xherdan Shaqiri,4,2,1699,0.0,0.0,0.0
2016-17,102738,Giannelli Imbula,0,1,796,0.0,0.0,0.0
2016-17,40276,Bojan Krkic,3,0,475,0.0,0.0,0.0
2016-17,3773,Peter Crouch,7,3,1343,0.0,0.0,0.0
2016-17,61858,Mame Biram Diouf,1,2,1385,0.0,0.0,0.0
2016-17,61316,Jose Luis Mato Sanmartín,0,0,0,0.0,0.0,0.0
2016-17,20487,Vito Mannone,0,0,810,0.0,0.0,0.0
2016-17,111234,Jordan Pickford,0,0,2610,0.0,0.0,0.0
2016-17,37742,Younes Kaboul,2,0,1910,0.0,0.0,0.0
2016-17,3736,John O'Shea,0,1,2158,0.0,0.0,0.0
2016-17,11467,Billy Jones,1,0,2270,0.0,0.0,0.0
2016-17,74230,Patrick van Aanholt,5,1,2498,0.0,0.0,0.0
2016-17,60794,Adam Matthews,0,0,0,0.0,0.0,0.0
2016-17,45076,Lamine Koné,1,0,2545,0.0,0.0,0.0
2016-17,57736,Jan Kirchhoff,0,1,433,0.0,0.0,0.0
2016-17,28448,Lee Cattermole,0,0,633,0.0,0.0,0.0
2016-17,19057,Sebastian Larsson,0,3,1468,0.0,0.0,0.0
2016-17,49384,Jack Rodwell,0,1,1492,0.0,0.0,0.0
2016-17,39187,Jeremain Lens,0,0,69,0.0,0.0,0.0
2016-17,60165,Wahbi Khazri,1,0,849,0.0,0.0,0.0
2016-17,115854,Duncan Watmore,0,5,1025,0.0,0.0,0.0
2016-17,77454,Fabio Borini,2,0,1742,0.0,0.0,0.0
2016-17,7958,Jermain Defoe,15,3,3322,0.0,0.0,0.0
2016-17,37096,Lukasz Fabianski,0,0,3330,0.0,0.0,0.0
2016-17,61760,Kristoffer Nordfeldt,0,0,90,0.0,0.0,0.0
2016-17,49539,Kyle Naughton,1,0,2714,0.0,0.0,0.0
2016-17,19159,Ashley Williams,1,3,3160,0.0,0.0,0.0
2016-17,47390,Neil Taylor,0,1,920,0.0,0.0,0.0
2016-17,42996,Angel Rangel,1,0,831,0.0,0.0,0.0
2016-17,80789,Jordi Amat,0,0,1409,0.0,0.0,0.0
2016-17,57145,Federico Fernández,0,1,2430,0.0,0.0,0.0
2016-17,55313,Franck Tabanou,0,0,0,0.0,0.0,0.0
2016-17,96306,Stephen Kingsley,0,0,1036,0.0,0.0,0.0
2016-17,97615,Mike van der Hoorn,1,0,662,0.0,0.0,0.0
2016-17,40145,Jack Cork,0,1,2232,0.0,0.0,0.0
2016-17,55422,Gylfi Sigurdsson,9,13,3327,0.0,0.0,0.0
2016-17,11829,Wayne Routledge,3,2,1917,0.0,0.0,0.0
2016-17,15114,Leon Britton,0,0,1163,0.0,0.0,0.0
2016-17,96305,Jay Fulton,0,0,690,0.0,0.0,0.0
2016-17,76542,Sung-yueng Ki,0,1,1291,0.0,0.0,0.0
2016-17,49195,Jefferson Montero,0,1,380,0.0,0.0,0.0
2016-17,45124,André Ayew,6,3,1439,0.0,0.0,0.0
2016-17,49277,Leroy Fer,6,2,2405,0.0,0.0,0.0
2016-17,21083,Nathan Dyer,0,1,214,0.0,0.0,0.0
2016-17,37998,Bafétimbi Gomis,0,0,0,0.0,0.0,0.0
2016-17,39270,Marvin Emnes,0,0,0,0.0,0.0,0.0
2016-17,111787,Modou Barrow,0,2,1145,0.0,0.0,0.0
2016-17,37915,Hugo Lloris,0,0,3004,0.0,0.0,0.0
2016-17,39215,Michel Vorm,0,0,416,0.0,0.0,0.0
2016-17,55605,Toby Alderweireld,1,0,2601,0.0,0.0,0.0
2016-17,38290,Danny Rose,2,3,1530,0.0,0.0,0.0
2016-17,58621,Kyle Walker,0,6,2701,0.0,0.0,0.0
2016-17,39194,Jan Vertonghen,0,0,2894,0.0,0.0,0.0
2016-17,115556,Ben Davies,1,3,1739,0.0,0.0,0.0
2016-17,77794,Kieran Trippier,0,5,568,0.0,0.0,0.0
2016-17,97485,Kevin Wimmer,0,0,357,0.0,0.0,0.0
