HomeTeam,AwayTeam,FTHG,FTAG,FTR
Crystal Palace,Leicester,2,0,H
Leeds,Southampton,0,0,D
Liverpool,Ipswich,0,1,A
Man City,Coventry,0,0,D
Norwich,Wimbledon,1,2,A
West Ham,Tottenham,1,2,A
Newcastle,Man United,1,1,D
Coventry,Arsenal,0,1,A
Everton,Crystal Palace,3,1,H
Ipswich,Chelsea,2,2,D
Nott'm Forest,Aston Villa,1,2,A
Sheffield Weds,Newcastle,0,0,D
Man United,Blackburn,1,0,H
West Ham,Sheffield Weds,0,2,A
Arsenal,Southampton,1,1,D
Leeds,QPR,4,0,H
Liverpool,Everton,0,0,D
Aston Villa,Tottenham,1,0,H
Chelsea,Nott'm Forest,0,2,A
Crystal Palace,Man United,1,1,D
Man City,Leicester,0,1,A
Newcastle,Wimbledon,2,1,H
Norwich,Coventry,2,2,D
Blackburn,Ipswich,4,1,H
Blackburn,Leeds,1,1,D
Newcastle,Everton,2,0,H
Coventry,Chelsea,2,2,D
Everton,Norwich,2,1,H
Ipswich,Crystal Palace,0,2,A
Leicester,West Ham,1,2,A
Man United,Aston Villa,1,0,H
Nott'm Forest,Liverpool,1,1,D
QPR,Newcastle,3,0,H
Sheffield Weds,Arsenal,3,1,H
Southampton,Man City,2,2,D
Wimbledon,Leeds,0,0,D
Tottenham,Blackburn,3,1,H
Arsenal,Leicester,1,1,D
Aston Villa,Wimbledon,7,1,H
Chelsea,Tottenham,1,1,D
Crystal Palace,Coventry,0,2,A
Liverpool,QPR,1,1,D
Man City,Man United,0,3,A
Newcastle,Nott'm Forest,2,1,H
Norwich,Southampton,2,2,D
Blackburn,Sheffield Weds,3,1,H
West Ham,Everton,2,2,D
Coventry,West Ham,2,0,H
Sheffield Weds,Aston Villa,1,2,A
Arsenal,Nott'm Forest,1,0,H
Aston Villa,Leicester,4,4,D
Blackburn,Wimbledon,2,1,H
Leeds,Everton,1,0,H
Man City,Ipswich,2,0,H
Norwich,Man United,0,2,A
Blackburn,Norwich,0,0,D
Coventry,Leicester,4,2,H
Crystal Palace,Arsenal,0,3,A
Everton,Man United,1,0,H
Ipswich,Southampton,2,1,H
Man City,Leeds,0,0,D
Newcastle,Aston Villa,3,1,H
Sheffield Weds,Liverpool,1,2,A
Tottenham,Wimbledon,1,2,A
West Ham,Chelsea,1,2,A
QPR,Nott'm Forest,1,1,D
Ipswich,Newcastle,0,2,A
Aston Villa,Blackburn,0,1,A
Leeds,Sheffield Weds,0,1,A
Leicester,Everton,2,2,D
Liverpool,Newcastle,2,0,H
Man United,Ipswich,9,0,H
Norwich,Man City,1,1,D
Nott'm Forest,Tottenham,2,2,D
Southampton,Coventry,0,0,D
Wimbledon,QPR,1,3,A
Arsenal,West Ham,0,1,A
Chelsea,Crystal Palace,0,0,D
Aston Villa,Coventry,0,0,D
Wimbledon,Man United,0,1,A
Blackburn,Arsenal,3,1,H
Man City,Chelsea,1,2,A
