Date,HomeTeam,AwayTeam,HomeTeamId,AwayTeamId,EventId
2027-02-21,Fiorentina,Internazionale,109,110,401874802
2027-02-21,Juventus,Bologna,111,107,401874816
2027-02-21,Lazio,Napoli,112,114,401874841
2027-02-21,Lecce,Frosinone,113,4057,401875137
2027-02-21,Sassuolo,AS Roma,3997,104,401875146
2027-02-21,Udinese,Parma,118,115,401875050
2027-02-21,Venezia,Cagliari,17530,2925,401874797
2027-02-28,AS Roma,Venezia,104,17530,401874823
2027-02-28,Bologna,Lecce,107,113,401875090
2027-02-28,Cagliari,Udinese,2925,118,401875013
2027-02-28,Como,AC Milan,2572,103,401875077
2027-02-28,Frosinone,Napoli,4057,114,401875040
2027-02-28,Genoa,Lazio,3263,112,401874827
2027-02-28,Internazionale,Atalanta,110,105,401874839
2027-02-28,Monza,Juventus,4007,111,401875088
2027-02-28,Parma,Sassuolo,115,3997,401874852
2027-02-28,Torino,Fiorentina,239,109,401874844
2027-03-07,AC Milan,Cagliari,103,2925,401875100
2027-03-07,Atalanta,Torino,105,239,401874855
2027-03-07,Fiorentina,Venezia,109,17530,401875038
2027-03-07,Juventus,AS Roma,111,104,401874834
2027-03-07,Lazio,Frosinone,112,4057,401875053
2027-03-07,Lecce,Como,113,2572,401875026
2027-03-07,Monza,Genoa,4007,3263,401875082
2027-03-07,Napoli,Parma,114,115,401875052
2027-03-07,Sassuolo,Bologna,3997,107,401874845
2027-03-07,Udinese,Internazionale,118,110,401875139
2027-03-14,AC Milan,Sassuolo,103,3997,401875144
2027-03-14,Bologna,Napoli,107,114,401874825
2027-03-14,Cagliari,Fiorentina,2925,109,401875141
2027-03-14,Como,Udinese,2572,118,401875039
2027-03-14,Frosinone,Monza,4057,4007,401875086
2027-03-14,Genoa,AS Roma,3263,104,401874837
2027-03-14,Lazio,Juventus,112,111,401874865
2027-03-14,Parma,Lecce,115,113,401874872
2027-03-14,Torino,Internazionale,239,110,401874851
2027-03-14,Venezia,Atalanta,17530,105,401875060
2027-03-21,AS Roma,Lecce,104,113,401875049
2027-03-21,Atalanta,AC Milan,105,103,401875142
2027-03-21,Fiorentina,Genoa,109,3263,401875147
2027-03-21,Internazionale,Frosinone,110,4057,401875068
2027-03-21,Juventus,Como,111,2572,401875083
2027-03-21,Monza,Bologna,4007,107,401874860
2027-03-21,Napoli,Venezia,114,17530,401875051
2027-03-21,Parma,Lazio,115,112,401874807
2027-03-21,Sassuolo,Cagliari,3997,2925,401874880
2027-03-21,Udinese,Torino,118,239,401875055
2027-04-04,AC Milan,Monza,103,4007,401875101
2027-04-04,AS Roma,Bologna,104,107,401874864
2027-04-04,Cagliari,Napoli,2925,114,401874882
2027-04-04,Como,Fiorentina,2572,109,401875065
2027-04-04,Frosinone,Udinese,4057,118,401874868
2027-04-04,Genoa,Internazionale,3263,110,401875150
2027-04-04,Lecce,Lazio,113,112,401875080
2027-04-04,Sassuolo,Atalanta,3997,105,401875094
2027-04-04,Torino,Juventus,239,111,401874814
2027-04-04,Venezia,Parma,17530,115,401875063
2027-04-11,Bologna,Venezia,107,17530,401874817
2027-04-11,Cagliari,Atalanta,2925,105,401875114
2027-04-11,Fiorentina,AC Milan,109,103,401875093
2027-04-11,Frosinone,Genoa,4057,3263,401875149
2027-04-11,Internazionale,AS Roma,110,104,401874822
2027-04-11,Juventus,Lecce,111,113,401874832
2027-04-11,Lazio,Torino,112,239,401875153
2027-04-11,Napoli,Sassuolo,114,3997,401875145
2027-04-11,Parma,Como,115,2572,401875111
2027-04-11,Udinese,Monza,118,4007,401874883
2027-04-18,AC Milan,Napoli,103,114,401874831
2027-04-18,AS Roma,Lazio,104,112,401875148
2027-04-18,Atalanta,Udinese,105,118,401875096
2027-04-18,Bologna,Cagliari,107,2925,401874848
2027-04-18,Como,Frosinone,2572,4057,401875098
2027-04-18,Fiorentina,Parma,109,115,401875152
2027-04-18,Monza,Internazionale,4007,110,401874874
2027-04-18,Sassuolo,Lecce,3997,113,401874862
2027-04-18,Torino,Genoa,239,3263,401874884
2027-04-18,Venezia,Juventus,17530,111,401875072
2027-04-25,Cagliari,Monza,2925,4007,401874869
2027-04-25,Frosinone,AS Roma,4057,104,401874853
2027-04-25,Genoa,Sassuolo,3263,3997,401875123
2027-04-25,Internazionale,Bologna,110,107,401874870
2027-04-25,Juventus,Fiorentina,111,109,401875156
2027-04-25,Lazio,Como,112,2572,401874873
2027-04-25,Lecce,AC Milan,113,103,401874859
2027-04-25,Napoli,Udinese,114,118,401874877
2027-04-25,Parma,Atalanta,115,105,401875124
2027-04-25,Venezia,Torino,17530,239,401875108
2027-05-02,AC Milan,Lazio,103,112,401875064
2027-05-02,AS Roma,Napoli,104,114,401874828
2027-05-02,Atalanta,Juventus,105,111,401875085
2027-05-02,Bologna,Fiorentina,107,109,401875103
2027-05-02,Como,Internazionale,2572,110,401875128
2027-05-02,Lecce,Cagliari,113,2925,401875131
2027-05-02,Monza,Venezia,4007,17530,401875112
2027-05-02,Sassuolo,Frosinone,3997,4057,401875155
2027-05-02,Torino,Parma,239,115,401875104
2027-05-02,Udinese,Genoa,118,3263,401875120
2027-05-09,Fiorentina,AS Roma,109,104,401874885
2027-05-09,Frosinone,Atalanta,4057,105,401874875
2027-05-09,Genoa,Cagliari,3263,2925,401874838
2027-05-09,Internazionale,Lecce,110,113,401875127
2027-05-09,Lazio,Sassuolo,112,3997,401874886
2027-05-09,Napoli,Monza,114,4007,401875151
2027-05-09,Parma,AC Milan,115,103,401875106
2027-05-09,Torino,Bologna,239,107,401875117
2027-05-09,Udinese,Juventus,118,111,401875115
2027-05-09,Venezia,Como,17530,2572,401875138
2027-05-16,AC Milan,AS Roma,103,104,401875110
2027-05-16,Bologna,Frosinone,107,4057,401875157
2027-05-16,Cagliari,Torino,2925,239,401875062
2027-05-16,Como,Atalanta,2572,105,401875130
2027-05-16,Juventus,Internazionale,111,110,401874849
2027-05-16,Lazio,Udinese,112,118,401875113
2027-05-16,Lecce,Fiorentina,113,109,401875158
2027-05-16,Monza,Parma,4007,115,401875097
2027-05-16,Napoli,Genoa,114,3263,401875133
2027-05-16,Sassuolo,Venezia,3997,17530,401874842
2027-05-23,AS Roma,Como,104,2572,401874887
2027-05-23,Atalanta,Lecce,105,113,401875134
2027-05-23,Fiorentina,Monza,109,4007,401874840
2027-05-23,Frosinone,Cagliari,4057,2925,401875071
2027-05-23,Genoa,Bologna,3263,107,401875122
2027-05-23,Internazionale,Lazio,110,112,401874881
2027-05-23,Parma,Juventus,115,111,401874847
2027-05-23,Torino,Napoli,239,114,401874858
2027-05-23,Udinese,Sassuolo,118,3997,401875119
2027-05-23,Venezia,AC Milan,17530,103,401874857
2027-05-30,AC Milan,Udinese,103,118,401875159
2027-05-30,Bologna,Parma,107,115,401874878
2027-05-30,Cagliari,AS Roma,2925,104,401874888
2027-05-30,Como,Genoa,2572,3263,401875084
2027-05-30,Juventus,Frosinone,111,4057,401874866
2027-05-30,Lazio,Fiorentina,112,109,401874861
2027-05-30,Lecce,Venezia,113,17530,401875075
2027-05-30,Monza,Torino,4007,239,401874879
2027-05-30,Napoli,Atalanta,114,105,401874850
2027-05-30,Sassuolo,Internazionale,3997,110,401875154
