team,player_code,player_name,position,photo_url,roster_source,portrait_source
Borussia Dortmund,186381,Serhou Guirassy,Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Serhou_Guirassy_2024_%28cropped%29.jpg/250px-Serhou_Guirassy_2024_%28cropped%29.jpg,2026/27 roster feed,Wikimedia Commons
Borussia Dortmund,178380,Alexander Meyer,Goalkeeper,https://r2.thesportsdb.com/images/media/player/thumb/k4c5581659534926.jpg,2026/27 roster feed,TheSportsDB
Borussia Dortmund,287713,Diant Ramaj,Goalkeeper,,2026/27 roster feed,Unavailable
Borussia Dortmund,238544,Gregor Kobel,Goalkeeper,https://r2.thesportsdb.com/images/media/player/thumb/dl2yx01605709279.jpg,2026/27 roster feed,TheSportsDB
Borussia Dortmund,174521,Patrick Drewes,Goalkeeper,,2026/27 roster feed,Unavailable
Borussia Dortmund,331297,Silas Ostrzinski,Goalkeeper,,2026/27 roster feed,Unavailable
Borussia Dortmund,298348,Ayman Azhil,Midfielder,,2026/27 roster feed,Unavailable
Borussia Dortmund,294317,Carney Chukwuemeka,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/6ymbm51636630303.jpg,2026/27 roster feed,TheSportsDB
Borussia Dortmund,387500,Danylo Krevsun,Midfielder,,2025/26 squad carryover,Unavailable
Borussia Dortmund,159142,Emre Can,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/3rca6t1705094377.jpg,2026/27 roster feed,TheSportsDB
Borussia Dortmund,401450,Enzo De Pina Duarte Dos Santos,Midfielder,,2026/27 roster feed,Unavailable
Borussia Dortmund,281122,Felix Nmecha,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/i6l5rw1779384367.jpg,2026/27 roster feed,TheSportsDB
Borussia Dortmund,324820,Jobe Bellingham,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/c2g1ly1713358383.jpg,2026/27 roster feed,TheSportsDB
Borussia Dortmund,197628,Julian Brandt,Midfielder,,2025/26 squad carryover,Unavailable
Borussia Dortmund,383070,Justin Lerma,Midfielder,,2026/27 roster feed,Unavailable
Borussia Dortmund,173907,Marcel Sabitzer,Midfielder,,2026/27 roster feed,Unavailable
Borussia Dortmund,207099,Michael Eberwein,Midfielder,,2026/27 roster feed,Unavailable
Borussia Dortmund,403933,Mussa Kaba,Midfielder,,2026/27 roster feed,Unavailable
Borussia Dortmund,225563,Salih Özcan,Midfielder,,2025/26 squad carryover,Unavailable
Borussia Dortmund,410768,Takato Yamamoto,Midfielder,,2026/27 roster feed,Unavailable
Borussia Dortmund,3102554,Tom Lasse Faust,Midfielder,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,345873,David Herold,Defender,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,323061,Fabio Chiarodia,Defender,https://r2.thesportsdb.com/images/media/player/thumb/6ce3ny1679665711.jpg,2026/27 roster feed,TheSportsDB
Borussia Mönchengladbach,384410,Jan Leszczynski,Defender,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,272135,Joe Scally,Defender,https://r2.thesportsdb.com/images/media/player/thumb/yuvee01628889417.jpg,2026/27 roster feed,TheSportsDB
Borussia Mönchengladbach,206863,Kevin Diks,Defender,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,328492,Kota Takai,Defender,,2025/26 squad carryover,Unavailable
Borussia Mönchengladbach,346617,Lukas Ullrich,Defender,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,212237,Nico Elvedi,Defender,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,276082,Yukhym Konoplia,Defender,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,371484,Alejo Sarco,Forward,https://r2.thesportsdb.com/images/media/player/thumb/cgthz71741448863.jpg,2025/26 squad carryover,TheSportsDB
Borussia Mönchengladbach,184869,Haris Tabakovic,Forward,https://r2.thesportsdb.com/images/media/player/thumb/2shpb51778541916.jpg,2025/26 squad carryover,TheSportsDB
Borussia Mönchengladbach,221690,Isac Lidberg,Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Isac_Lidberg_-_Go_Ahead_Eagles_-_FC_Volendam_-_52914784076_%282023%29.jpg/250px-Isac_Lidberg_-_Go_Ahead_Eagles_-_FC_Volendam_-_52914784076_%282023%29.jpg,2026/27 roster feed,Wikimedia Commons
Borussia Mönchengladbach,386420,Jan Urbich,Forward,,2025/26 squad carryover,Unavailable
Borussia Mönchengladbach,271352,Shuto Machino,Forward,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,185906,Tim Kleindienst,Forward,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Kleindienst%2C_Tim_Heidenheim_16-17_%283%29_WP.jpg/250px-Kleindienst%2C_Tim_Heidenheim_16-17_%283%29_WP.jpg,2026/27 roster feed,Wikimedia Commons
Borussia Mönchengladbach,307755,Tomas Cvancara,Forward,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,149297,Daniel Batz,Goalkeeper,https://r2.thesportsdb.com/images/media/player/thumb/mhoond1741640797.jpg,2026/27 roster feed,TheSportsDB
Borussia Mönchengladbach,304631,Jan Olschowsky,Goalkeeper,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,238536,Moritz Nicolas,Goalkeeper,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,344654,Tiago Pereira,Goalkeeper,,2025/26 squad carryover,Unavailable
Borussia Mönchengladbach,122273,Tobias Sippel,Goalkeeper,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,343990,Enzo Leopold,Midfielder,,2026/27 roster feed,Unavailable
Borussia Mönchengladbach,238527,Florian Neuhaus,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/jo6yvv1578119280.jpg,2026/27 roster feed,TheSportsDB
Borussia Mönchengladbach,196029,Franck Honorat,Midfielder,https://r2.thesportsdb.com/images/media/player/thumb/j907pw1551798362.jpg,2026/27 roster feed,TheSportsDB
Borussia Mönchengladbach,415726,Fritz Fleck,Midfielder,,2025/26 squad carryover,Unavailable
