season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,165644,David Juncà,0,0.0,2.0,9.0,7.0,0.0,0.0
2016-17,113392,David Lombán,0,2.0,0.0,21.0,20.0,0.0,0.0
2016-17,160740,David López,0,3.0,2.0,36.0,36.0,0.0,0.0
2016-17,66822,David Ramírez,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,207940,David Simón,0,0.0,1.0,16.0,14.0,0.0,0.0
2016-17,196339,David Soria,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,155247,David Timor,0,2.0,1.0,24.0,22.0,0.0,0.0
2016-17,125764,David Zurutuza,0,3.0,1.0,31.0,29.0,0.0,0.0
2016-17,178363,Davy Roef,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,163129,Denis Cheryshev,0,0.0,0.0,11.0,2.0,0.0,0.0
2016-17,163068,Denis Suárez,0,1.0,3.0,26.0,12.0,0.0,0.0
2016-17,145094,Denys Boyko,0,0.0,0.0,3.0,3.0,0.0,0.0
2016-17,192710,Deyverson,0,7.0,1.0,32.0,29.0,0.0,0.0
2016-17,88993,Didier Digard,0,0.0,0.0,3.0,3.0,0.0,0.0
2016-17,106154,Diego Alves,0,0.0,0.0,33.0,33.0,0.0,0.0
2016-17,148116,Diego Barrios,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,104564,Diego Godín,0,3.0,1.0,31.0,30.0,0.0,0.0
2016-17,231343,Diego González,0,0.0,0.0,3.0,0.0,0.0,0.0
2016-17,181530,Diego Llorente,0,2.0,0.0,25.0,23.0,0.0,0.0
2016-17,40547,Diego López,0,0.0,0.0,35.0,35.0,0.0,0.0
2016-17,140342,Diego Mariño,0,0.0,0.0,2.0,2.0,0.0,0.0
2016-17,83869,Diego Reyes,0,1.0,0.0,34.0,32.0,0.0,0.0
2016-17,193943,Diego Rico,0,1.0,0.0,25.0,25.0,0.0,0.0
2016-17,157739,Dimitri Foulquier,0,0.0,2.0,22.0,21.0,0.0,0.0
2016-17,140886,Dimitrios Siovas,0,1.0,0.0,16.0,16.0,0.0,0.0
2016-17,130673,Douglas,0,3.0,0.0,21.0,20.0,0.0,0.0
2016-17,28609,Duda,0,1.0,2.0,16.0,2.0,0.0,0.0
2016-17,124462,Duje Cop,0,9.0,3.0,31.0,27.0,0.0,0.0
2016-17,255272,Edu Expósito,0,0.0,0.0,1.0,1.0,0.0,0.0
2016-17,192430,Einar Galilea,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,113209,Elderson Echiéjilé,0,1.0,0.0,3.0,2.0,0.0,0.0
2016-17,127479,Eliaquim Mangala,0,2.0,0.0,30.0,30.0,0.0,0.0
2016-17,107033,Emmanuel Rivière,0,0.0,1.0,15.0,8.0,0.0,0.0
2016-17,144492,Emre Colak,0,3.0,6.0,33.0,29.0,0.0,0.0
2016-17,134306,Eneko Bóveda,0,0.0,0.0,19.0,18.0,0.0,0.0
2016-17,165184,Enric Saborit,0,0.0,0.0,9.0,5.0,0.0,0.0
2016-17,209580,Enrique Barja,0,0.0,0.0,1.0,0.0,0.0,0.0
2016-17,135422,Enrique García,0,7.0,1.0,24.0,18.0,0.0,0.0
2016-17,127319,Enzo Pérez,0,0.0,1.0,27.0,26.0,0.0,0.0
2016-17,240234,Enzo Zidane,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,251905,Eric Curbelo,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,251901,Erik Expostio,0,0.0,0.0,2.0,2.0,0.0,0.0
2016-17,180911,Erik Morán,0,0.0,1.0,12.0,11.0,0.0,0.0
2016-17,255271,Erik Ruiz,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,106160,Esteban Granero,0,0.0,1.0,19.0,8.0,0.0,0.0
2016-17,172979,Eugeni Valderrama,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,68141,Ezequiel Garay,0,4.0,0.0,27.0,27.0,0.0,0.0
